Iteration	Replicate_ID	Posterior	Likelihood	Prior	prob_rate_12	prob_rate_13	prob_rate_21	prob_rate_23	prob_rate_31	prob_rate_32	rate_12	rate_13	rate_21	rate_23	rate_31	rate_32	rf[1]	rf[2]	rf[3]
163	1	-44.2516	-54.5453	10.2938	1	1	0	0	1	0	0	0	0.001981873	0.005692491	0	0.0003139257	0.130376	0.17244	0.697184
164	0	-32.7076	-55.8119	23.1043	0	0	0	0	1	0	0.0009434794	0.002219838	0.001785404	0.003228571	0	0.0004548956	0.302248	0.522325	0.175427
165	1	-41.5992	-52.9942	11.395	1	1	0	0	1	0	0	0	0.001981873	0.004275175	0	0.0003139257	0.0287248	0.81767	0.153605
166	0	-34.7142	-57.0564	22.3422	0	0	0	0	1	0	0.001563843	0.002219838	0.002027201	0.003290481	0	0.0005116551	0.689544	0.260626	0.0498301
167	1	-33.0938	-55.0769	21.9831	0	0	0	0	1	0	0.001132852	0.002371346	0.001981873	0.004275175	0	0.0003139257	0.0714359	0.781713	0.146851
168	0	-39.8269	-57.2906	17.4638	1	0	0	0	1	0	0	0.002228059	0.001924333	0.002392509	0	0.0007810842	0.689544	0.260626	0.0498301
169	1	-34.8069	-52.7487	17.9418	0	1	0	0	1	0	0.0002199578	0	0.001401369	0.004832651	0	0.0002567474	0.0775765	0.825879	0.0965448
170	0	-36.8419	-56.0149	19.173	0	1	0	0	1	0	9.715816e-05	0	0.002279731	0.002262388	0	0.0004868926	0.38129	0.519404	0.0993069
171	1	-27.747	-52.7781	25.0312	0	0	0	0	1	0	0.0001035597	1.89336e-05	0.00137193	0.004417492	0	0.0002403435	0.0753968	0.802673	0.12193
172	0	-37.3205	-56.195	18.8745	1	0	0	0	1	0	0	0.0008350268	0.00192606	0.002262388	0	0.0004868926	0.298079	0.406051	0.29587
