Iteration	Replicate_ID	Posterior	Likelihood	Prior	mu_morpho
437	1	-61.7898	-61.7874	-0.00243386	0.002433862
438	0	-61.703	-61.7006	-0.00237314	0.002373137
439	1	-61.3491	-61.3472	-0.00193299	0.001932988
440	0	-63.1843	-63.1812	-0.00310247	0.003102468
441	1	-61.3491	-61.3472	-0.00193299	0.001932988
442	0	-61.552	-61.5505	-0.00156709	0.001567088
443	1	-61.3491	-61.3472	-0.00193299	0.001932988
444	0	-61.9042	-61.9017	-0.00250671	0.002506711
445	1	-62.3481	-62.3454	-0.00274483	0.002744832
446	0	-61.5585	-61.5569	-0.00156243	0.001562433
447	1	-61.7369	-61.7345	-0.00239754	0.002397539
448	0	-61.829	-61.8266	-0.00245961	0.002459605
449	1	-62.8207	-62.8178	-0.00295635	0.002956348
450	0	-61.4175	-61.4154	-0.00209608	0.00209608
451	1	-61.4002	-61.3982	-0.00206851	0.002068507
452	0	-61.9499	-61.9473	-0.00253402	0.002534022
453	1	-61.4002	-61.3982	-0.00206851	0.002068507
454	0	-61.5911	-61.5888	-0.00228456	0.002284556
455	1	-61.4002	-61.3982	-0.00206851	0.002068507
456	0	-61.6296	-61.6273	-0.00231676	0.002316757
457	1	-61.3465	-61.3446	-0.00186376	0.00186376
458	0	-61.6296	-61.6273	-0.00231676	0.002316757
459	1	-61.4422	-61.4401	-0.00213062	0.002130617
460	0	-61.9895	-61.9882	-0.00134883	0.001348827
461	1	-61.6118	-61.6103	-0.00152678	0.001526782
462	0	-63.662	-63.661	-0.000966497	0.000966497
463	1	-62.7647	-62.7618	-0.00293274	0.002932736
464	0	-61.3462	-61.3443	-0.00186694	0.001866944
465	1	-62.7647	-62.7618	-0.00293274	0.002932736
466	0	-62.1417	-62.1404	-0.00129615	0.001296148
467	1	-61.4314	-61.4293	-0.00211608	0.002116083
468	0	-61.9702	-61.9688	-0.00135606	0.001356057
469	1	-61.8221	-61.8207	-0.00141668	0.001416678
470	0	-61.7674	-61.7659	-0.00144196	0.001441963
471	1	-61.3594	-61.3575	-0.00197744	0.001977441
472	0	-61.5045	-61.5029	-0.00160416	0.001604161
473	1	-64.029	-64.0256	-0.00340831	0.003408311
474	0	-61.5045	-61.5029	-0.00160416	0.001604161
475	1	-63.0266	-63.0236	-0.00304047	0.003040474
476	0	-61.3801	-61.3784	-0.00175116	0.001751163
477	1	-61.3509	-61.349	-0.00194336	0.001943365
478	0	-61.7772	-61.7747	-0.00242534	0.002425336
479	1	-61.835	-61.8326	-0.00246348	0.002463479
480	0	-61.4069	-61.4052	-0.00170762	0.001707619
481	1	-61.3937	-61.392	-0.00172747	0.001727466
482	0	-61.388	-61.3859	-0.00204629	0.002046294
483	1	-61.3458	-61.3439	-0.00187344	0.001873445
484	0	-61.388	-61.3859	-0.00204629	0.002046294
485	1	-63.8666	-63.8632	-0.00335233	0.003352328
