Iteration	Posterior	Likelihood	Prior	rate_12	rate_13	rate_21	rate_23	rate_31	rate_32	rf[1]	rf[2]	rf[3]
163	-25.1064	-60.572	35.4656	0.001796076	0.0007414886	0.0005032581	0.000994753	0.0009139294	0.001691683	0.397936	0.48354	0.118524
164	-23.893	-59.6255	35.7325	0.0008125694	0.0004752572	0.0003907279	0.000994753	0.0009139294	0.002710445	0.425135	0.44824	0.126625
165	-24.6465	-60.0982	35.4517	0.00136242	0.0006129198	0.0003669104	0.0009117483	0.001256883	0.002148158	0.693388	0.133601	0.17301
166	-24.3901	-60.4785	36.0884	0.002035251	0.0007731466	0.0004930999	0.0009117483	0.000573653	0.001052685	0.58351	0.0544267	0.362063
167	-24.3642	-60.3572	35.993	0.001940019	0.001049485	0.000703039	0.0009117483	0.0002364404	0.001121593	0.637678	0.0534646	0.308858
168	-26.645	-62.2084	35.5634	0.002362521	0.0006943768	0.001144037	0.000519919	0.0006727679	0.001121593	0.878597	0.0307887	0.0906146
169	-24.8741	-59.9097	35.0356	0.00147924	0.0008850902	0.001568011	0.0008023722	0.0005492192	0.001910674	0.721024	0.0454747	0.233501
170	-24.7387	-59.4318	34.6931	0.001883483	0.001351001	0.001146103	0.0006371715	0.0005492192	0.0020684	0.463067	0.100897	0.436036
171	-22.8045	-58.4938	35.6893	0.001581918	0.0008991566	0.0005969746	0.0006604243	0.000619598	0.001995107	0.463067	0.100897	0.436036
172	-24.6376	-59.6291	34.9915	0.001441987	0.00139444	0.0008675276	0.0006566653	0.0005320044	0.002358649	0.60305	0.164393	0.232557
173	-25.0032	-60.0681	35.0649	0.001122223	0.00139444	0.0008900881	0.0004544762	0.0004089527	0.002886645	0.449862	0.376655	0.173483
174	-24.5049	-59.5248	35.0198	0.001089619	0.001148559	0.0006860067	0.0005516156	0.0004089527	0.003330108	0.0192897	0.580133	0.400578
175	-27.4582	-61.8807	34.4225	0.0007222361	0.0008525964	0.0003344168	0.0008857372	0.0005852502	0.004603428	0.0135152	0.705822	0.280663
176	-27.8712	-62.0539	34.1828	0.0007222361	0.0007264098	0.0004370516	0.0009743489	0.0008287302	0.004603428	0.0151186	0.656473	0.328408
177	-23.8321	-59.2938	35.4618	0.0005347218	0.0004621973	0.0003396078	0.001000181	0.0008273916	0.003481961	0.00868826	0.660759	0.330553
178	-24.5141	-60.0721	35.5581	0.0005347218	0.0002718423	0.0002694778	0.0005866397	0.001543054	0.003316367	0.0158194	0.674696	0.309485
179	-25.3544	-60.4472	35.0928	0.0005499103	0.0002718423	0.0002392039	0.001406298	0.001337369	0.003316367	0.0730053	0.635493	0.291502
180	-24.1135	-59.9175	35.804	0.0003836397	0.0003286812	0.0001767013	0.0005069707	0.001493217	0.003316367	0.142373	0.624374	0.233252
181	-20.6031	-57.2644	36.6613	0.0004177913	0.0004679337	0.0001444505	0.0003812509	0.001046376	0.002644443	0.270242	0.287018	0.442741
182	-22.185	-58.2282	36.0432	0.0005042106	0.0005314095	0.0001887778	0.0009180209	0.001110901	0.002644443	0.255287	0.326473	0.41824
