Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
170	0	-411.802	-408.506	-3.29605	943429.9	14.81296	0.998692	0.999665	1.00033	1.00131	2.531454
171	1	-415.131	-416.963	1.8319	345313.7	10.57118	0.997838	0.999447	1.00055	1.00216	2.089217
172	0	-418.929	-410.335	-8.59371	370194.3	10.34821	0.997912	0.999466	1.00053	1.00209	3.078041
173	1	-414.432	-408.877	-5.55577	634576.8	12.76861	0.998405	0.999592	1.00041	1.0016	2.76193
174	0	-420.469	-410.309	-10.1598	63617.19	9.297174	0.994965	0.998708	1.00128	1.00504	3.236912
175	1	-420.797	-412.17	-8.62636	881878.7	9.79991	0.998647	0.999654	1.00035	1.00135	3.081455
176	0	-425.701	-414.819	-10.882	955510.4	9.296955	0.9987	0.999668	1.00033	1.0013	3.314592
177	1	-414.497	-409.327	-5.17058	438172.2	9.907531	0.99808	0.999509	1.00049	1.00192	2.733386
178	0	-428.557	-417.134	-11.4231	526090.1	10.02166	0.998248	0.999552	1.00045	1.00175	3.3616
179	1	-432.287	-419.506	-12.781	425094.2	9.547695	0.998051	0.999501	1.0005	1.00195	3.513164
180	0	-421.676	-413.74	-7.93624	251295.6	9.688102	0.997465	0.999351	1.00065	1.00254	3.009006
181	1	-431.381	-416.398	-14.9829	16669.17	7.92465	0.990172	0.997468	1.0025	1.00986	3.77563
182	0	-414.56	-407.335	-7.2245	982158.8	15.59412	0.998718	0.999672	1.00033	1.00128	2.7553
183	1	-438.367	-420.403	-17.9642	319079.9	6.36118	0.997751	0.999424	1.00057	1.00225	4.081368
184	0	-422.359	-413.36	-8.99836	952288.3	9.618053	0.998698	0.999667	1.00033	1.0013	3.11791
185	1	-437.416	-422.238	-15.178	117497.6	8.989684	0.996294	0.99905	1.00094	1.00371	3.789224
186	0	-425.953	-414.253	-11.7006	124421.9	9.351381	0.996399	0.999077	1.00092	1.00361	3.402272
187	1	-433.018	-416.353	-16.6648	371098	10.86559	0.997914	0.999466	1.00053	1.00209	3.812935
188	0	-414.351	-404.543	-9.80785	236527.8	9.472705	0.997388	0.999331	1.00067	1.00261	3.201227
189	1	-426.271	-416.786	-9.48451	999880.4	10.71153	0.998729	0.999675	1.00032	1.00127	3.156327
190	0	-416.555	-410.357	-6.19828	268959.8	8.676303	0.99755	0.999373	1.00062	1.00245	2.763386
191	1	-422.311	-413.202	-9.1097	154970.2	8.603269	0.996773	0.999173	1.00082	1.00323	3.094525
192	0	-413.828	-404.513	-9.31434	263906.5	14.09192	0.997527	0.999367	1.00063	1.00248	2.981433
193	1	-419.519	-418.539	-0.980246	206041.8	14.28218	0.997201	0.999283	1.00071	1.0028	2.386507
