Iteration	Posterior	Likelihood	Prior	mu_morpho
419	-62.6788	-62.6776	-0.00115049	0.001150494
420	-61.5947	-61.5924	-0.00228768	0.002287675
421	-61.7349	-61.7325	-0.00239609	0.002396095
422	-61.7349	-61.7325	-0.00239609	0.002396095
423	-61.4179	-61.4159	-0.00209671	0.002096714
424	-61.5022	-61.5006	-0.00160606	0.001606055
425	-61.3544	-61.3526	-0.00181722	0.001817223
426	-62.2331	-62.2304	-0.002688	0.002688003
427	-62.2331	-62.2304	-0.002688	0.002688003
428	-62.2331	-62.2304	-0.002688	0.002688003
429	-61.3791	-61.377	-0.00202825	0.002028246
430	-61.4179	-61.4158	-0.00209669	0.002096691
431	-63.2226	-63.2195	-0.00311726	0.003117261
432	-61.5906	-61.5883	-0.00228413	0.002284133
433	-62.7114	-62.7085	-0.00290995	0.002909954
434	-62.702	-62.6991	-0.00290592	0.002905919
435	-62.702	-62.6991	-0.00290592	0.002905919
436	-61.4148	-61.4127	-0.00209197	0.002091968
437	-62.4467	-62.4455	-0.00120749	0.001207492
438	-62.5526	-62.5514	-0.00118057	0.001180575
439	-61.4486	-61.4465	-0.00213887	0.002138867
440	-61.4486	-61.4465	-0.00213887	0.002138867
441	-61.3547	-61.3527	-0.0019602	0.001960201
442	-61.3547	-61.3527	-0.0019602	0.001960201
443	-61.4607	-61.459	-0.00164432	0.00164432
444	-61.4607	-61.459	-0.00164432	0.00164432
445	-61.4498	-61.4477	-0.0021404	0.002140401
446	-61.4498	-61.4477	-0.0021404	0.002140401
447	-61.3469	-61.345	-0.00191588	0.001915884
448	-61.3469	-61.345	-0.00191588	0.001915884
449	-62.5198	-62.517	-0.00282525	0.00282525
450	-61.6504	-61.6489	-0.00150349	0.001503486
451	-61.5299	-61.5276	-0.00222853	0.002228534
452	-61.6853	-61.6829	-0.00236002	0.002360019
453	-62.3369	-62.3341	-0.00273939	0.002739391
454	-61.8774	-61.8749	-0.00249023	0.002490233
455	-61.8774	-61.8749	-0.00249023	0.002490233
456	-61.8774	-61.8749	-0.00249023	0.002490233
457	-61.728	-61.7256	-0.00239122	0.002391223
458	-61.728	-61.7256	-0.00239122	0.002391223
459	-62.1363	-62.1337	-0.00263795	0.002637949
460	-61.368	-61.3659	-0.00200209	0.002002094
461	-61.8565	-61.854	-0.00247713	0.002477126
462	-61.4906	-61.489	-0.00161617	0.001616165
463	-61.4441	-61.4424	-0.00166169	0.001661692
464	-61.367	-61.365	-0.00199969	0.001999692
465	-61.367	-61.365	-0.00199969	0.001999692
466	-61.3597	-61.3579	-0.00179934	0.001799343
467	-61.3597	-61.3579	-0.00179934	0.001799343
468	-61.3597	-61.3579	-0.00179934	0.001799343
469	-62.1086	-62.106	-0.00262316	0.002623158
470	-61.3586	-61.3566	-0.0019746	0.001974596
471	-61.3586	-61.3566	-0.0019746	0.001974596
472	-61.6793	-61.6769	-0.00235551	0.002355507
473	-61.6941	-61.6926	-0.00147912	0.00147912
474	-62.6883	-62.6854	-0.00289997	0.002899966
475	-62.6883	-62.6854	-0.00289997	0.002899966
476	-61.7264	-61.725	-0.00146221	0.00146221
477	-61.7264	-61.725	-0.00146221	0.00146221
478	-61.3795	-61.3775	-0.00202924	0.002029242
479	-61.6695	-61.6672	-0.0023481	0.002348099
480	-61.6695	-61.6672	-0.0023481	0.002348099
481	-61.4865	-61.4849	-0.00161981	0.001619811
482	-61.6418	-61.6395	-0.00232654	0.00232654
483	-62.3578	-62.3566	-0.00123146	0.001231455
484	-62.3578	-62.3566	-0.00123146	0.001231455
485	-62.3962	-62.3949	-0.00122095	0.001220953
486	-61.4199	-61.4178	-0.00209955	0.002099554
487	-63.104	-63.101	-0.00307116	0.003071165
488	-61.9195	-61.917	-0.00251596	0.002515963
489	-61.77	-61.7676	-0.00242044	0.002420442
490	-62.3411	-62.3383	-0.00274142	0.002741422
491	-61.668	-61.6665	-0.00149346	0.001493458
492	-61.668	-61.6665	-0.00149346	0.001493458
493	-61.668	-61.6665	-0.00149346	0.001493458
494	-62.8562	-62.8551	-0.00111138	0.001111377
495	-61.414	-61.4119	-0.00209071	0.002090712
496	-61.414	-61.4119	-0.00209071	0.002090712
497	-61.5989	-61.5966	-0.00229124	0.00229124
