Iteration	Posterior	Likelihood	Prior	alpha_morpho	alpha_ofbeta	beta_ofbeta	br_len_lambda	cats[1]	cats[2]	cats[3]	cats[4]	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
1080	-434.589	-419.122	-15.4663	854052.5	6.923538	12.59598	11.53263	0.242029	0.330696	0.398634	0.501451	0.263561	0.119242	0.184786	0.43241	0.998625	0.999648	1.00035	1.00138	3.234189
1090	-427.442	-416.033	-11.4092	321121.5	11.54545	11.94675	10.0482	0.368233	0.459558	0.524343	0.616381	0.490732	0.155749	0.324908	0.0286111	0.997758	0.999426	1.00057	1.00224	2.845709
1100	-423.878	-413.487	-10.3911	367215.7	4.778021	6.214829	13.70959	0.276885	0.396839	0.487623	0.617484	0.181949	0.66425	0.126366	0.0274343	0.997903	0.999463	1.00053	1.0021	2.797087
1110	-429.661	-413.244	-16.4166	854643.3	17.8598	22.94446	8.706761	0.345783	0.415066	0.464549	0.537025	0.813467	0.0742735	0.0874422	0.0248169	0.998625	0.999648	1.00035	1.00138	3.148124
1120	-434.128	-417.77	-16.3578	732492	11.83454	11.17386	12.15497	0.3877	0.480813	0.546215	0.638108	0.0430385	0.332049	0.439744	0.185169	0.998515	0.99962	1.00038	1.00149	3.245685
1130	-425.082	-409.144	-15.9386	758792.5	7.152524	6.386019	7.229845	0.36646	0.483947	0.567226	0.681025	0.105897	0.66546	0.16598	0.0626631	0.998541	0.999627	1.00037	1.00146	3.294648
1140	-417.7	-406.354	-11.3465	864315.5	6.170697	11.39759	11.47377	0.234764	0.326895	0.398103	0.506017	0.118353	0.214088	0.376497	0.291063	0.998633	0.99965	1.00035	1.00137	2.895032
1150	-415.381	-408.957	-6.42422	79055.02	5.129996	6.079267	12.71985	0.296024	0.417296	0.507674	0.635278	0.265081	0.0207355	0.643571	0.0706124	0.995483	0.998842	1.00115	1.00452	2.522326
1160	-423.091	-415.209	-7.88222	557455.1	5.65303	6.777746	13.34509	0.300006	0.416301	0.502622	0.625193	0.156838	0.180927	0.143238	0.518996	0.998298	0.999565	1.00043	1.0017	2.613538
1170	-424.678	-410.552	-14.1251	247569.8	9.312695	12.07513	10.37421	0.313961	0.40589	0.473077	0.570843	0.0748407	0.259914	0.103503	0.561742	0.997446	0.999346	1.00065	1.00256	3.133637
1180	-430.024	-421.636	-8.38879	783119.9	8.608094	6.946658	12.27182	0.397896	0.509903	0.587864	0.693623	0.798928	0.02362	0.144427	0.0330249	0.998564	0.999633	1.00037	1.00144	2.649967
1190	-438.627	-419.233	-19.394	432539.1	6.749826	5.670109	9.34354	0.373236	0.495758	0.582136	0.698623	0.279663	0.330533	0.317515	0.0722896	0.998068	0.999506	1.00049	1.00193	3.791684
1200	-423.195	-410.725	-12.4703	214731.9	6.363156	6.594172	10.14621	0.332227	0.449464	0.534491	0.652928	0.0890395	0.712139	0.120967	0.0778544	0.997258	0.999298	1.0007	1.00274	3.056264
1210	-428.226	-415.736	-12.4898	467726.2	7.919452	5.640082	14.00804	0.414937	0.534808	0.617149	0.726092	0.607169	0.113899	0.267012	0.0119192	0.998142	0.999525	1.00047	1.00186	2.915466
1220	-432.054	-414.651	-17.4036	589934.4	7.557356	4.177547	10.55633	0.45636	0.585348	0.671131	0.779309	0.590393	0.0689014	0.339971	0.000734022	0.998346	0.999577	1.00042	1.00166	3.532545
1230	-424.565	-414.601	-9.9642	973339.9	4.075561	5.687189	11.58139	0.257086	0.380506	0.475694	0.612692	0.135577	0.0197027	0.554401	0.290319	0.998712	0.999671	1.00033	1.00129	2.840912
