Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_morpho	alpha_ofbeta	beta_ofbeta	br_len_lambda	cats[1]	cats[2]	cats[3]	cats[4]	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
107	1	-425.082	-415.154	-9.92842	997840.3	5.99186	4.95854	12.08043	0.366995	0.496069	0.587309	0.709209	0.441717	0.12232	0.28163	0.154334	0.998728	0.999675	1.00032	1.00127	2.817743
108	0	-424.297	-412.298	-11.9992	915591.5	13.43303	18.44443	9.197106	0.320493	0.397052	0.452507	0.534094	0.030292	0.716535	0.0437435	0.209429	0.998672	0.99966	1.00034	1.00133	2.782971
109	1	-432.02	-418.404	-13.6158	447065.6	6.175668	5.520818	12.46115	0.355883	0.480493	0.56935	0.689897	0.536829	0.0350895	0.274289	0.153792	0.9981	0.999514	1.00048	1.0019	3.097641
110	0	-419.989	-412.879	-7.11041	57237.96	4.805821	10.86905	11.74392	0.195519	0.28642	0.359315	0.472661	0.174579	0.290454	0.0127599	0.522208	0.994692	0.998638	1.00135	1.00532	2.544644
111	1	-433.525	-419.298	-14.2263	851319.9	4.221403	4.939195	13.04208	0.285825	0.416842	0.51548	0.653224	0.201402	0.0399808	0.702083	0.0565346	0.998623	0.999648	1.00035	1.00138	3.1323
112	0	-430.559	-413.435	-17.1236	557731	28.09688	30.21982	13.06136	0.401279	0.461279	0.503189	0.56386	0.325494	0.265062	0.010668	0.398776	0.998298	0.999565	1.00043	1.0017	2.976589
113	1	-432.788	-419.439	-13.3493	202585.8	3.009083	2.62029	10.64149	0.304515	0.467284	0.587605	0.742516	0.427854	0.104739	0.389276	0.0781307	0.997177	0.999277	1.00072	1.00283	3.203969
114	0	-427.043	-419.028	-8.01571	273607.9	7.232998	6.758056	10.16383	0.359038	0.474321	0.556458	0.669584	0.247729	0.361009	0.00305613	0.388207	0.997571	0.999378	1.00062	1.00243	2.607805
115	1	-440.014	-426.24	-13.7744	435999.6	2.710627	3.688219	13.00916	0.237507	0.380902	0.49457	0.654228	0.295862	0.0435559	0.601385	0.0591973	0.998076	0.999508	1.00049	1.00193	3.120811
116	0	-423.571	-413.573	-9.9976	950837	2.471697	2.154088	8.996893	0.288502	0.461301	0.590904	0.755164	0.320964	0.0541003	0.0286815	0.596255	0.998697	0.999667	1.00033	1.0013	2.849044
117	1	-419.145	-412.96	-6.18475	970282.2	2.397194	4.410471	14.25564	0.193922	0.323984	0.432248	0.592682	0.0149113	0.426986	0.296273	0.26183	0.99871	0.99967	1.00033	1.00129	2.506992
118	0	-415.645	-407.711	-7.93424	575010.6	5.966093	7.767027	11.81908	0.289416	0.399524	0.481787	0.600338	0.318333	0.0245306	0.256223	0.400913	0.998324	0.999571	1.00043	1.00168	2.631135
119	1	-414.303	-412.49	-1.81369	720540.8	5.254528	7.497771	17.3244	0.267542	0.378709	0.463245	0.586383	0.146683	0.328292	0.184019	0.341006	0.998503	0.999617	1.00038	1.0015	2.11224
120	0	-423.377	-410.423	-12.9542	123181.4	4.546287	10.7098	7.79743	0.188077	0.278764	0.352088	0.466713	0.0857621	0.0960734	0.176039	0.642126	0.996381	0.999073	1.00092	1.00362	2.955361
121	1	-412.6	-404.437	-8.16289	737618.4	13.69873	14.08541	12.75807	0.378605	0.463446	0.52332	0.608663	0.462584	0.390082	0.0913383	0.0559966	0.99852	0.999622	1.00038	1.00148	2.528295
