Iteration	Posterior	Likelihood	Prior	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	p_invar	pi[1]	pi[2]	pi[3]	pi[4]	pop_size	root_height
127	-1733.56	-1408.37	-325.196	0.011834	0.600049	0.0418567	0.011219	0.234335	0.100705	0.1480219	0.302629	0.263569	0.156996	0.276806	117430	209873.6
128	-1735.65	-1409.89	-325.764	0.0200622	0.610488	0.0382772	0.0065409	0.232539	0.0920933	0.1480219	0.302629	0.263569	0.156996	0.276806	119419.8	213990.6
129	-1726.19	-1406.37	-319.821	0.025497	0.70057	0.0387728	0.00464458	0.165122	0.0653939	0.1480219	0.316142	0.27879	0.146597	0.258471	82906.34	151028.4
130	-1723.03	-1406.27	-316.754	0.0227654	0.625515	0.034619	0.00414699	0.230918	0.0820355	0.1480219	0.316142	0.27879	0.146597	0.258471	73347.8	135873.2
131	-1716.04	-1404.73	-311.312	0.0253394	0.69624	0.0385332	0.00461588	0.180849	0.0544229	0.1480219	0.313689	0.276627	0.14546	0.264225	60694.67	108780.4
132	-1722.6	-1400.65	-321.953	0.0124611	0.730521	0.0187445	0.00484315	0.184836	0.0485941	0.1480219	0.313689	0.276627	0.14546	0.264225	106319.9	191933.3
133	-1714.5	-1401.19	-313.316	0.0124536	0.730079	0.0187332	0.00544448	0.184725	0.0485648	0.1480219	0.311386	0.274597	0.144392	0.269625	72809.79	138312.2
134	-1706.44	-1403.19	-303.253	0.0134946	0.791109	0.0111062	0.00443447	0.141604	0.0382515	0.3896848	0.311386	0.274597	0.144392	0.269625	72809.79	90070.79
135	-1714.07	-1407.32	-306.753	0.0235521	0.738816	0.0119634	0.00144509	0.152533	0.0716912	0.3821231	0.336424	0.25243	0.143391	0.267755	72809.79	68973.37
136	-1720.93	-1405.48	-315.446	0.030047	0.780183	0.0126332	0.00152601	0.115551	0.0600594	0.3821231	0.344823	0.252905	0.134013	0.268259	72809.79	103637.2
137	-1716.63	-1403.01	-313.619	0.0286106	0.757011	0.030044	0.00148068	0.124578	0.0582756	0.1292512	0.344823	0.252905	0.134013	0.268259	72809.79	118631
