Iteration	Replicate_ID	Posterior	Likelihood	Prior	pop_size[1]	pop_size[2]	pop_size[3]	pop_size[4]	pop_size[5]	pop_size[6]
239	1	-1819.22	-1405.76	-413.466	506963	349767	852407	325273	464012	208783
240	0	-1802.07	-1398.51	-403.563	347106	451508	110109	260479	121918	119353
241	1	-1828.4	-1409.7	-418.693	506963	344566	794244	306251	499019	199008
242	0	-1804.06	-1397.53	-406.53	347106	491230	120545	260479	121918	121244
243	1	-1825.11	-1408.15	-416.961	506963	288680	783024	306251	461159	199008
244	0	-1792.13	-1392.57	-399.56	306403	491230	121969	295300	121918	142938
245	1	-1821.23	-1406.06	-415.175	493474	288524	856276	306251	444590	194607
246	0	-1796.21	-1394.3	-401.912	280882	560166	119166	299281	121918	140519
247	1	-1822.29	-1408	-414.283	493474	309196	856276	260162	458013	194607
248	0	-1796.79	-1395.56	-401.225	236369	595106	120674	290472	122437	143922
249	1	-1817.16	-1405.78	-411.378	472835	296064	822712	228484	413554	194607
250	0	-1795.4	-1396.59	-398.81	233709	484560	122823	313595	121323	131194
251	1	-1821.78	-1409.79	-411.991	444121	296064	729314	222625	413554	206374
252	0	-1796.47	-1394.63	-401.837	247915	460564	134021	343529	121323	128616
253	1	-1819.73	-1409.35	-410.388	444121	247380	654313	189890	353458	190790
254	0	-1794.13	-1393.17	-400.96	252242	436692	114789	372788	120308	116846
255	1	-1821.52	-1410.53	-410.992	444121	254987	631953	189890	353458	200665
256	0	-1794.94	-1394.01	-400.931	253988	363480	102835	393980	128579	119215
257	1	-1813.28	-1406.87	-406.415	473307	231493	678196	200268	353076	184794
258	0	-1794	-1392.59	-401.41	250071	340419	104716	430262	121188	119215
259	1	-1814.25	-1407.39	-406.862	482599	248530	722995	200268	303811	175064
260	0	-1797.83	-1392.62	-405.215	250071	337809	107722	442265	128942	111812
261	1	-1813.92	-1406.96	-406.963	454595	228722	722995	200384	362945	188964
262	0	-1789.46	-1392.4	-397.06	277789	345448	107722	405478	129432	107015
263	1	-1809.45	-1405.6	-403.854	472236	272305	734736	177273	358523	216834
264	0	-1794.96	-1395.18	-399.771	248451	316041	100158	412552	129432	120141
265	1	-1818.89	-1409.71	-409.181	447279	252026	693874	177273	343784	262247
266	0	-1794.19	-1394.67	-399.518	279697	270620	97092.1	432707	138736	121533
267	1	-1814.36	-1406.81	-407.551	420351	265491	708637	156668	344778	263380
268	0	-1794.38	-1393.46	-400.921	288602	266009	93157.8	403033	130998	113555
269	1	-1809.84	-1405.11	-404.725	420351	267984	708637	160373	389588	293539
270	0	-1790.9	-1391.96	-398.941	292843	266009	95176.7	353320	121970	113555
271	1	-1809.63	-1405.51	-404.122	420351	244406	707191	151297	382831	317309
272	0	-1796.49	-1396.16	-400.326	287098	277147	88186.9	333539	143178	133518
273	1	-1810.81	-1405.34	-405.47	427763	257348	754902	151297	354471	317309
274	0	-1798.56	-1398.84	-399.721	287098	277147	88186.9	325071	143178	128367
275	1	-1814.44	-1406.48	-407.956	455332	268209	697789	151297	381025	340731
276	0	-1796.36	-1398.01	-398.344	315510	268063	81834.1	325071	140101	107249
277	1	-1812.35	-1408.37	-403.979	428316	268707	790682	131001	402213	347687
278	0	-1807.06	-1401	-406.059	299131	279886	83653.1	298324	161814	97188.8
279	1	-1818.13	-1411.42	-406.705	437205	236868	804511	128482	422117	351637
280	0	-1790.71	-1393.93	-396.779	312526	294554	78051.5	332193	161814	92025.5
281	1	-1823.09	-1414.21	-408.887	411112	236868	921238	113963	457181	348424
282	0	-1800	-1394.84	-405.157	312526	282754	84281.2	350744	161814	90285.6
283	1	-1817.31	-1410.17	-407.142	449632	220081	921238	122098	447817	336758
284	0	-1802.7	-1395.83	-406.871	312526	293012	101063	326058	156371	95605.6
285	1	-1828.19	-1416.61	-411.578	449632	245336	809883	115611	499364	310744
286	0	-1794.17	-1393.13	-401.042	272948	315621	96136.3	326058	149259	95605.6
287	1	-1831.16	-1419.39	-411.767	449632	237121	824251	119339	388544	310744
288	0	-1798.19	-1393.31	-404.886	270420	347619	87791.1	344154	142325	97373.1
289	1	-1827.13	-1416.43	-410.703	404199	283945	836742	117343	388544	307220
290	0	-1792.73	-1390.55	-402.181	270420	366266	84381.1	316181	147326	95908.1
291	1	-1821.43	-1411.84	-409.59	386717	237951	851599	113758	366764	315035
292	0	-1787.21	-1390.73	-396.481	276827	397452	81204.3	328045	162436	100927
293	1	-1823.17	-1411.39	-411.78	330926	233005	851599	107604	417114	285935
294	0	-1802.62	-1401.83	-400.794	260536	375643	81204.3	344386	162436	118825
295	1	-1824.53	-1412.59	-411.936	271497	249299	851599	107604	424470	285893
296	0	-1798.08	-1398.53	-399.55	242585	357412	83451.8	344386	162436	122327
297	1	-1815.95	-1408.78	-407.168	242699	274637	930779	107604	343420	282300
298	0	-1797.37	-1397.42	-399.955	197256	354461	92767.2	363683	166232	122327
299	1	-1814.77	-1412.66	-402.109	237450	249486	994608	101354	291395	297600
300	0	-1799.03	-1400.24	-398.794	197256	348178	99008.6	354882	162558	113068
301	1	-1819.56	-1411	-408.563	302762	243693	846987	93007	244740	273460
302	0	-1805.15	-1401.98	-403.166	199908	348178	99008.6	384526	175982	105056
303	1	-1817.21	-1409.72	-407.483	277943	244908	875373	86870.7	219118	269141
304	0	-1798.42	-1398.85	-399.565	203102	380478	100341	337845	160135	117531
305	1	-1816.37	-1409.18	-407.191	282778	227286	875373	79661.4	207796	251822
306	0	-1802.4	-1398.38	-404.019	203102	408238	87391.8	288198	171622	120195
307	1	-1818.42	-1414.11	-404.313	283926	230581	703423	79661.4	212399	230744
308	0	-1798.79	-1397.41	-401.384	224967	486522	84357.8	302444	174032	130236
309	1	-1809.17	-1408.65	-400.523	269723	240799	755484	79661.4	212399	233775
310	0	-1803.68	-1399.76	-403.921	236978	533169	91548.6	302444	182990	140185
311	1	-1825.78	-1416.62	-409.167	269729	223665	755484	85830.3	198667	222074
312	0	-1807.15	-1402.19	-404.966	244904	515206	97285.3	282857	185876	127587
313	1	-1806.74	-1409.05	-397.69	275697	259379	775051	99218.3	218531	221868
314	0	-1807.44	-1402.08	-405.359	267189	462790	97285.3	282857	189011	127587
315	1	-1812.59	-1408.6	-403.991	310419	250467	735950	99218.3	215740	243722
316	0	-1809.44	-1405.19	-404.242	267189	514214	97285.3	318745	183729	128823
317	1	-1811.22	-1409.51	-401.708	322435	230322	803702	91813.3	239389	268528
318	0	-1800.45	-1396.43	-404.018	229310	473904	99800.6	336597	160237	120709
319	1	-1813.04	-1411.35	-401.697	322435	192362	803702	94098.3	234067	308655
320	0	-1807.54	-1403.7	-403.832	231464	453616	91327.8	338983	147502	120125
321	1	-1815.85	-1412.63	-403.219	322435	195644	738417	93215	234067	308655
322	0	-1801.7	-1402.96	-398.735	208271	370780	94708.7	338983	141890	126878
323	1	-1823.76	-1416.78	-406.988	378128	211757	815818	89416.9	228313	282993
324	0	-1794.08	-1396.47	-397.612	215119	370780	100904	379784	131839	126878
325	1	-1812.84	-1410.33	-402.511	324459	211757	849218	89416.9	228313	340353
326	0	-1807.11	-1401.5	-405.615	226174	370780	105385	379784	131839	116783
327	1	-1812.23	-1409.25	-402.98	282869	202558	782992	96392.3	223170	308037
328	0	-1799.23	-1395.4	-403.821	208528	370780	90540.1	338178	120705	124414
329	1	-1809.81	-1407.96	-401.849	247065	179357	909621	109012	213557	263776
330	0	-1797.48	-1396.84	-400.639	208869	324168	95634.3	306146	127722	135016
331	1	-1816.31	-1413.54	-402.768	247065	183808	930570	109648	203975	259027
332	0	-1788.89	-1393.13	-395.759	208869	296713	100541	301450	127977	165501
333	1	-1814.88	-1410.8	-404.083	247065	174294	815670	100669	239501	258562
334	0	-1789.43	-1393.74	-395.684	203378	284227	90762.2	310586	127977	154553
335	1	-1807.91	-1408.16	-399.752	224759	153929	775977	98303.3	233692	262154
