Iteration	Posterior	Likelihood	Prior	pop_size[1]	pop_size[2]	pop_size[3]	pop_size[4]	pop_size[5]	pop_size[6]
310	-1788.33	-1401.29	-387.044	129451	8666.44	468383	175470	129652	363824
311	-1795.74	-1401.83	-393.903	129451	7959.99	393552	175470	174775	378960
312	-1787.27	-1404.01	-383.263	119151	7531.79	504853	154509	184935	460621
313	-1792.44	-1404.32	-388.124	116636	10269.2	431980	227690	157859	492398
314	-1792.83	-1405.8	-387.027	116636	13889.3	274992	190300	94448.2	522458
315	-1794.42	-1406.22	-388.192	116636	12720.9	290363	169297	168927	559317
316	-1794.47	-1407.33	-387.14	116636	11131.5	341034	120407	133282	342436
317	-1789.95	-1402.06	-387.881	116636	11131.5	341034	91116.7	218817	342436
318	-1790.98	-1404.26	-386.722	170162	11131.5	517813	90218.8	213503	466452
319	-1796.73	-1403.76	-392.972	170162	11537.9	557667	97175	233116	506258
320	-1793.46	-1406.78	-386.679	172322	16105.7	557667	97175	214854	499833
321	-1789.97	-1405.27	-384.695	188669	15678.2	433946	73837.1	155218	499833
322	-1796.2	-1407.07	-389.129	168183	14365.8	314751	100739	155218	657724
323	-1795.02	-1406.53	-388.49	162068	11646.9	374254	127838	189703	830742
324	-1791.93	-1406.19	-385.739	182320	11646.9	240879	115140	322288	817828
325	-1795.98	-1403.44	-392.535	151754	11289	181910	138740	357682	853767
326	-1797	-1405.95	-391.048	151574	15650.3	256593	138740	357682	966200
327	-1802.17	-1409.53	-392.634	151574	16983.7	266285	226091	508049	882415
328	-1803.69	-1404.18	-399.505	223044	17773.7	402669	226091	447823	882415
329	-1800.99	-1404.68	-396.304	238119	15040.7	402669	299286	318201	882415
330	-1799.65	-1406.13	-393.522	221546	14341.7	416606	299286	244936	882415
331	-1797.17	-1404.86	-392.316	221546	14759.7	475893	282416	140428	709026
332	-1801.26	-1406.97	-394.291	195977	17619.4	475893	263466	200400	609947
333	-1803.11	-1409.64	-393.471	214256	18149	589196	311547	154344	609947
334	-1802.61	-1410.16	-392.451	214256	18149	433326	321194	111376	609947
335	-1799.81	-1408.94	-390.865	214256	18670.6	568155	347405	158824	959351
336	-1804.8	-1409.03	-395.766	275558	18670.6	597474	368101	158824	959351
337	-1800	-1405.23	-394.773	327055	25824.1	605868	348090	114894	923022
338	-1799.34	-1405.03	-394.311	379578	20849.6	791909	185525	74119.8	782257
339	-1794.12	-1401.86	-392.262	278415	21456.6	999395	86741.5	74119.8	782257
340	-1800.85	-1404.39	-396.456	292086	29131.3	794526	104352	74119.8	660385
341	-1801.26	-1405.25	-396.016	208964	29131.3	924121	139984	78580	491635
342	-1804.53	-1410.37	-394.157	322203	23334.4	924121	139984	69725.4	685325
343	-1805.3	-1412.65	-392.643	322203	30800.1	924121	199800	69725.4	778342
344	-1807.19	-1410.57	-396.618	383088	36421.3	675553	256263	69725.4	390139
345	-1802.27	-1405.96	-396.311	413452	51557.8	760146	212247	89486.9	357110
346	-1801.45	-1404.99	-396.464	413312	36128	506851	229085	89486.9	372050
347	-1802.51	-1405.6	-396.915	431439	34181.6	585963	274816	90346.9	366559
348	-1806.01	-1406.61	-399.397	598337	34181.6	585963	239443	76180	506802
349	-1803.66	-1404.11	-399.549	620426	39952.7	751345	217217	76180	491031
350	-1799.36	-1401.95	-397.401	472710	31078.1	602884	200625	79455.3	491031
351	-1800.77	-1402.88	-397.889	468842	23729.7	627887	152275	72357.2	381515
352	-1806.99	-1409.24	-397.754	482910	36738.3	627887	114799	81562.5	584239
353	-1807.58	-1407.76	-399.815	901800	28017.6	627887	148256	71190.7	668326
354	-1804.5	-1408.35	-396.155	901800	26378.8	627887	145665	50363.7	668326
355	-1810.24	-1406.3	-403.942	901800	25040.5	791050	283110	43185.7	593912
356	-1807.88	-1409.36	-398.52	901800	40065.6	651372	130952	42025	613371
