Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
820	-3317.588	-3304.898	-12.69028	0.2771754	0.1921275	0.2885829	0.1060941	0.0165217	0.49651	0.00339711	0.0110536	0.471842	0.00067487	0.04699995	0.000400288	0.0293608	0.362801	3.60744	0.28119	0.301245	0.141183	0.276382	0.153094	0.3070005
830	-3315.976	-3304.242	-11.73432	0.2549308	0.193649	0.2853908	-0.007592686	0.0178901	0.542143	0.00896783	0.00958811	0.420847	0.000564458	0.05338751	0.000423548	0.0301938	0.36688	3.6025	0.282456	0.317525	0.129807	0.270212	0.04579483	1.165798
840	-3318.588	-3307.086	-11.50172	0.2895976	0.225379	0.3119531	-0.03152905	0.0197476	0.414377	0.0104409	0.00552213	0.547737	0.00217597	0.03653477	0.00115562	0.049579	0.446613	3.50265	0.284428	0.308954	0.132004	0.274614	0.005005724	7.298599
850	-3321.083	-3308.831	-12.25192	0.2868619	0.2327649	0.2731308	0.04859255	0.0200976	0.488414	0.00721578	0.00992875	0.468503	0.00584117	0.06268796	0.00140343	0.0545571	0.463703	3.48034	0.293878	0.296981	0.135459	0.273682	0.1112805	0.5633328
860	-3319.187	-3306.323	-12.86413	0.273636	0.2385135	0.2792977	0.07805422	0.0294535	0.479612	0.00751263	0.00602238	0.474395	0.00300368	0.07769543	0.00161896	0.0585293	0.476628	3.46322	0.297754	0.278977	0.148124	0.275146	0.1557496	0.4988482
870	-3316.555	-3302.437	-14.11738	0.2706079	0.2125068	0.2899468	0.126586	0.0174245	0.479172	0.00526606	0.00380321	0.492798	0.00153654	0.1143779	0.000797462	0.0412879	0.415504	3.54241	0.298619	0.283416	0.130545	0.28742	0.2409639	0.4746681
880	-3313.263	-3300.204	-13.05907	0.2372802	0.1989523	0.3149403	0.02731061	0.0180612	0.545987	0.00388901	0.00797642	0.42166	0.00242703	0.09645729	0.000512231	0.0331733	0.380918	3.5854	0.295121	0.287631	0.138092	0.279156	0.1237679	0.7793401
890	-3316.598	-3303.618	-12.97942	0.2331318	0.2010432	0.3457509	0.001778431	0.0153357	0.486277	0.011325	0.0018559	0.48436	0.00084649	0.08677232	0.000550576	0.0343795	0.386375	3.57869	0.284989	0.31096	0.152664	0.251386	0.08855075	0.9799163
900	-3316.026	-3303.487	-12.53857	0.2331318	0.2124487	0.3055555	-0.1322199	0.021943	0.487125	0.0044421	0.0077728	0.473789	0.00492835	0.150515	0.000796046	0.0412516	0.41536	3.54259	0.295458	0.296657	0.148421	0.259464	0.01829506	8.227085
910	-3322.521	-3310.044	-12.47644	0.2537651	0.1947189	0.2876104	-0.1691938	0.0116067	0.60534	0.00756979	0.011183	0.360831	0.00346937	0.1777758	0.000440476	0.0307854	0.369735	3.59904	0.303858	0.294396	0.124515	0.277231	0.008581932	20.71512
920	-3321.491	-3309.138	-12.35292	0.2666671	0.2037209	0.3436128	-0.09417749	0.0166346	0.494167	0.0041508	0.0105445	0.469548	0.0049546	0.09937155	0.000602594	0.0359493	0.393299	3.57015	0.284198	0.266083	0.142448	0.30727	0.005194062	19.13176
930	-3324.808	-3310.278	-14.5304	0.2666671	0.1957598	0.3564926	-0.3307841	0.0114648	0.492851	0.00406972	0.00666972	0.477515	0.00742881	0.3358979	0.000457406	0.0313657	0.372501	3.59568	0.343284	0.293244	0.131438	0.232034	0.005113837	65.68413
940	-3317.576	-3305.909	-11.66736	0.3285353	0.1817229	0.250894	0.1227066	0.0174661	0.524029	0.00212817	0.013206	0.434755	0.00841552	0.002846972	0.000265206	0.0239413	0.334305	3.64149	0.268585	0.312863	0.139913	0.278638	0.1255535	0.02267536
