Iteration	Replicate_ID	Posterior	Likelihood	Prior	diversification[1]	diversification[2]	extinction[1]	extinction[2]	rate_category_prior[1]	rate_category_prior[2]	speciation[1]	speciation[2]	transition_rates[1]	transition_rates[2]
130	0	-1710.872	-1715.717	4.845141	0.209105	0.00978421	2.11991e-05	11.1484	0.0493053	0.950695	0.209126	11.1582	0.0263954	0.000303246
131	1	-1890.73	-1864.553	-26.17664	7.99129e-06	0.251288	5.10369e-06	0.106711	0.747669	0.252331	1.3095e-05	0.357999	0.0592038	0.254714
132	0	-1710.355	-1715.281	4.925886	0.198592	0.00978421	2.25894e-05	11.1484	0.0493053	0.950695	0.198615	11.1582	0.0259022	0.00026622
133	1	-1889.238	-1862.471	-26.76701	9.33207e-06	0.255338	4.75446e-06	0.101837	0.87319	0.12681	1.40865e-05	0.357175	0.0628493	0.254714
134	0	-1712.467	-1717.145	4.677487	0.195818	0.00978421	2.35797e-05	11.1484	0.693742	0.306258	0.195842	11.1582	0.0271404	0.000283836
135	1	-1887.425	-1861.678	-25.7464	7.85366e-06	0.266246	5.18908e-06	0.103536	0.87319	0.12681	1.30427e-05	0.369782	0.0697543	0.241618
136	0	-1713.905	-1719.371	5.466489	0.183197	0.00978421	2.46679e-05	11.1484	0.693742	0.306258	0.183222	11.1582	0.022732	0.000302047
137	1	-1887.961	-1862.423	-25.53807	8.25529e-06	0.299771	5.37036e-06	0.0850599	0.486674	0.513326	1.36256e-05	0.38483	0.0730051	0.237625
138	0	-1710.537	-1716.125	5.587552	0.215367	-0.0256538	2.52282e-05	11.1484	0.0701548	0.929845	0.215392	11.1228	0.0210185	0.000287479
139	1	-1885.336	-1857.476	-27.85959	7.27336e-06	0.274403	5.32209e-06	0.0798582	0.185769	0.814231	1.25954e-05	0.354261	0.0746237	0.250622
140	0	-1709.371	-1714.948	5.577847	0.204153	-0.0256538	2.67318e-05	11.1484	0.0701548	0.929845	0.204179	11.1228	0.0210981	0.000238109
141	1	-1886.344	-1857.462	-28.88172	7.87756e-06	0.258594	5.76253e-06	0.094589	0.690698	0.309302	1.36401e-05	0.353183	0.0731539	0.256077
142	0	-1710.038	-1715.729	5.69074	0.194827	-0.0256538	2.85108e-05	11.1484	0.0701548	0.929845	0.194856	11.1228	0.0203483	0.000240989
143	1	-1886.804	-1856.92	-29.88366	7.6301e-06	0.267985	6.00998e-06	0.0905866	0.750603	0.249397	1.36401e-05	0.358572	0.071073	0.263809
144	0	-1710.246	-1715.484	5.23784	0.220952	-0.0256538	3.02802e-05	11.1484	0.0701548	0.929845	0.220983	11.1228	0.0218519	0.000263791
145	1	-1885.453	-1852.025	-33.42825	7.37496e-06	0.271896	5.95752e-06	0.0948313	0.750603	0.249397	1.33325e-05	0.366727	0.0795012	0.275446
146	0	-1711.678	-1716.733	5.055127	0.223447	-0.0256538	3.09869e-05	11.1484	0.0701548	0.929845	0.223478	11.1228	0.0226604	0.000304221
147	1	-1883.542	-1848	-35.54233	6.99152e-06	0.275076	6.34095e-06	0.0927991	0.27219	0.72781	1.33325e-05	0.367876	0.0913431	0.275446
148	0	-1711.156	-1716.251	5.094233	0.202781	-0.0256538	2.80845e-05	11.1484	0.0701548	0.929845	0.202809	11.1228	0.0235773	0.000281298
149	1	-1883.826	-1843.894	-39.93223	9.25165e-06	0.269752	5.94876e-06	0.0981233	0.27219	0.72781	1.52004e-05	0.367876	0.0948539	0.296342
150	0	-1711.235	-1715.854	4.618962	0.208638	-0.0256538	3.44787e-05	11.1484	0.257516	0.742484	0.208673	11.1228	0.0249705	0.000270406
151	1	-1885.842	-1845.247	-40.59468	1.36035e-05	0.321201	5.51703e-06	0.0981233	0.27219	0.72781	1.91205e-05	0.419324	0.0940715	0.299283
152	0	-1711.145	-1715.743	4.598053	0.19581	-0.0014662	3.38373e-05	11.1484	0.226481	0.773519	0.195844	11.147	0.025548	0.000270406
153	1	-1886.75	-1850.309	-36.44075	1.30843e-05	0.329723	5.12616e-06	0.0896016	0.549214	0.450786	1.82105e-05	0.419324	0.0901959	0.280617
154	0	-1710.506	-1715.359	4.853461	0.195815	-0.0014662	2.87926e-05	11.1484	0.314051	0.685949	0.195844	11.147	0.0250275	0.000253373
155	1	-1885.71	-1847.242	-38.46729	1.18097e-05	0.327691	4.68865e-06	0.0884672	0.549214	0.450786	1.64984e-05	0.416158	0.096191	0.287405
156	0	-1711.693	-1715.89	4.197739	0.19834	0.0125098	3.10569e-05	11.1484	0.314051	0.685949	0.198371	11.1609	0.0282462	0.000271985
157	1	-1882.376	-1840.52	-41.85601	1.26412e-05	0.292276	5.10514e-06	0.072623	0.825274	0.174726	1.77463e-05	0.364899	0.116552	0.287405
158	0	-1709.497	-1714.433	4.935309	0.203113	0.0125098	3.16764e-05	11.1484	0.321205	0.678795	0.203145	11.1609	0.0238157	0.000234479
159	1	-1882.333	-1841.399	-40.93428	1.22332e-05	0.298786	4.40783e-06	0.0665798	0.933599	0.0664013	1.66411e-05	0.365365	0.112977	0.287405
160	0	-1709.777	-1714.738	4.96056	0.206333	-0.0201634	3.04941e-05	11.1484	0.373574	0.626426	0.206363	11.1283	0.0238157	0.000234479
161	1	-1881.7	-1839.055	-42.64531	1.27507e-05	0.279086	3.82828e-06	0.0637496	0.933599	0.0664013	1.6579e-05	0.342836	0.117964	0.293645
162	0	-1711.248	-1715.872	4.623835	0.241628	-0.0201634	2.9418e-05	11.1484	0.373574	0.626426	0.241657	11.1283	0.0250455	0.000233242
163	1	-1883.138	-1833.972	-49.16661	1.23884e-05	0.274926	4.19061e-06	0.0608727	0.933599	0.0664013	1.6579e-05	0.335799	0.117583	0.331194
164	0	-1709.217	-1714.025	4.808276	0.222645	-0.0201634	2.66601e-05	11.1484	0.431727	0.568273	0.222672	11.1283	0.0250455	0.000209324
165	1	-1882.682	-1839.745	-42.93737	1.58163e-05	0.308178	4.2892e-06	0.0619136	0.933599	0.0664013	2.01055e-05	0.370092	0.11903	0.292227
